status_id,user_id,created_at,screen_name,text,source,is_quote,is_retweet,favourites_count,retweet_count,followers_count,friends_count,account_created_at,verified,is_rumor,rumor_veracity,notes
1.25062E+18,1.08565E+18,2020-04-16T02:53:36Z,DNPthree,"I'll give $1,000 total to 10 people ($100 each) who retweet this within the next 48 hours. Must be following so I can DM.

Hope this helps a few more people dealing with #Covid_19 or any hardships. 💙",Twitter Web App,FALSE,FALSE,22344,19300,297357,380,2019-01-16T21:45:50Z,FALSE,TRUE,Unverified,no web link to confirm this as true or false
1.25087E+18,1.087E+18,2020-04-16T19:44:55Z,Gr3Te4rights,This Michigan medical worker just LOST IT when pro-Trump protesters blocked EVERY entrance to his hospital to protest against the state's shutdown orders.(from impeach trump) #COVID19 #TrumpIsAnIdiot https://t.co/6dhGKszKcM,Twitter for Android,FALSE,FALSE,127242,2400,54081,49352,2019-01-20T14:56:54Z,FALSE,TRUE,TRUE,https://www.detroitnews.com/story/news/local/michigan/2020/04/21/police-rebut-whitmer-claims-ambulances-blocked-protest-traffic/5169518002/
1.25081E+18,1.2062E+18,2020-04-16T15:23:44Z,LouGarza86,"I'm from #Michigan and what you all witnessed over Social Media &amp; the news was the vocal minority NOT the majority of the state. Please don't lump all those dumbasses in the same boat as I.

I support #GovWhitmer and her order of #StayHomeStaySafe. 

💙💙💙💙",Twitter for Android,FALSE,FALSE,44349,2377,13425,13161,2019-12-15T13:22:17Z,FALSE,TRUE,TRUE,https://www.detroitnews.com/story/news/local/michigan/2020/04/21/police-rebut-whitmer-claims-ambulances-blocked-protest-traffic/5169518002/
1.25078E+18,7.98954E+17,2020-04-16T13:38:24Z,DemWrite,"So...

Republicans snuck a tax break into the $2.2 trillion CARES Act. (Because of course they did.)

43,000 US millionaires will save an average of $1,700,000 each in taxes.

Have you gotten your $1,200 check yet? #DemCast #COVID19 
https://t.co/sg80TkQFuA",Twitter for iPhone,FALSE,FALSE,60052,2311,144127,12795,2016-11-16T18:19:41Z,FALSE,FALSE,Unverified,its more of question in sarcastic way 
1.25089E+18,7.53975E+17,2020-04-16T20:58:14Z,BasedPoland,"A number of African Ambassadors to China have contacted the Chinese Ministry of Foreign Affairs to officially protests against the wave of violent attacks on black people whom the Chinese suspect carry the #Coronavirus

Will Africa continue to sell out the continent to China? https://t.co/OeIXDhWoRV",Twitter Web App,FALSE,FALSE,14789,1955,120343,66047,2016-07-15T15:29:02Z,FALSE,TRUE,TRUE,"https://www.france24.com/en/20200413-african-ambassadors-write-letter-of-complaint-to-china-over-discrimination,https://abcnews.go.com/International/foreigners-black-people-unwelcome-parts-china-amid-covid/story?id=70182204"
1.25067E+18,1.06489E+18,2020-04-16T06:00:11Z,InbarCohen13,"These are #Indian students in #Israel who are helping Israeli authorities in the fight against #Coronavirus by volunteering to collect and test blood samples in Israel. 

Thanks a lot! 🇮🇱❤🇮🇳 https://t.co/UIpydMJ1KH",Hootsuite Inc.,FALSE,FALSE,610,1792,17940,313,2018-11-20T14:24:27Z,FALSE,TRUE,TRUE,https://www.republicworld.com/world-news/rest-of-the-world-news/embassy-of-india-in-israel-salutes-indian-students-for-helping-israel.html
1.25087E+18,351784239,2020-04-16T19:25:11Z,Haggis_UK,"Dr. Rachel Clarke - The point at which the government decided to change its testing policy....  was the point at which care home residents were thrown under a bus...

#bbcqt #coronavirus https://t.co/3kjRDb4X4t",Twitter for Android,FALSE,FALSE,25025,1558,22550,7402,2011-08-09T18:44:15Z,FALSE,FALSE,TRUE,its individual thinking about subject liked by likeminded
1.25067E+18,24017359,2020-04-16T06:31:17Z,SJWickham,My heart breaks for the developing world.  I admire this man.  One of Pakistan's greatest cricketers turned PM.  He speaks compellingly for #Global_Initiative_Debt_Relief for the countries of the developing world. #Hunger #Starvation #Covid_19 https://t.co/mkArLOloXU,Twitter Web App,TRUE,FALSE,1122,1470,724,32,2009-03-12T19:43:58Z,FALSE,TRUE,Unverified,sample notes
1.25089E+18,151930383,2020-04-16T21:06:09Z,GordonGChang,"What, may I ask, is the benefit to #Canada in funding a facility that looks like it accidentally released a virus that has striken much of the world? #China #WuhanLab #coronavirus #JustinTrudeau https://t.co/FukWRpGBvJ",Twitter for iPhone,TRUE,FALSE,9,1423,92564,825,2010-06-04T16:23:14Z,FALSE,TRUE,TRUE,"https://torontosun.com/opinion/columnists/lilley-trudeau-government-funding-china-but-not-like-some-think,https://www.theglobeandmail.com/canada/article-ottawa-funds-covid-19-research-project-that-is-collaborating-with/"
1.25066E+18,103739847,2020-04-16T05:24:05Z,TheAngryLord,"Hi @UU_University, Mr. Swain is a professor at your university &amp; he holds those Goons, who are attacking Healthcare staff fighting #CoronaVirus, in a very high regard.

Such person will favor those who create ruckus in your homeland too, God forbid.

Cc: @SwedishPM @polisen_sthlm https://t.co/dqNJiNy5jQ",Twitter for Android,FALSE,FALSE,73773,1310,30285,826,2010-01-11T03:10:25Z,FALSE,TRUE,FALSE,tweet doesn't exist anymore. claim seems false
